"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042645","GO:0042645","mitochondrial nucleoid","23/1560","87/29171",1.12397212061058e-10,2.09495914702695e-09,1.20613382533358e-09,"Q99714/P06576/P40939/P21796/P38646/Q96AG4/P34897/P49411/P42704/P49748/Q04837/P55084/P45880/P05141/Q9NVI7/Q9Y2S7/P36776/Q12849/P29372/Q00059/Q96EY1/P11182/Q7L0Y3",23
"GO:0030120","GO:0030120","vesicle coat","22/1560","81/29171",1.6037091456666e-10,2.90834820741158e-09,1.67442747214692e-09,"Q9Y678/Q13492/O14579/P53618/Q00610/P61923/P63010/O95782/O94979/O94855/P09496/O94973/P53621/P48444/Q15436/Q96KG9/P53992/O95486/Q9UBF2/P35606/P00533/P53675",22
"GO:0030532","GO:0030532","small nuclear ribonucleoprotein complex","24/1560","97/29171",1.99985948423834e-10,3.5313308261156e-09,2.03309814602624e-09,"P62304/P62316/P62318/P08621/P62306/P62314/Q13838/O95777/Q9Y333/P09661/Q7RTV0/Q9Y3B4/P09012/O43172/P14678/P63162/Q9Y383/Q15459/O43290/Q8WWY3/O75400/Q13435/O75643/O94906",24
"GO:0005885","GO:0005885","Arp2/3 protein complex","11/1560","20/29171",1.06104243688229e-09,1.82553711576414e-08,1.05101909402375e-08,"P61158/O15145/P59998/P61160/O15144/O15511/O15143/Q9C0K3/Q9P1U1/Q9BPX5/Q92747",11
"GO:0030662","GO:0030662","coated vesicle membrane","41/1560","268/29171",1.30815767753197e-09,2.19443450405987e-08,1.26340491487956e-08,"P11142/O75396/P13987/Q9Y678/P61769/Q13492/P49755/P10321/P55735/P63027/Q15836/P30460/O14579/P53618/Q10567/Q00610/P01889/P61923/P63010/P49257/P04439/O95782/P30443/O94979/O94855/O14653/P09496/O94973/Q15363/Q9Y6B6/P53621/P48444/Q15436/Q96KG9/P53992/O95486/Q9UBF2/P35606/O00203/P00533/P53675",41
"GO:0016607","GO:0016607","nuclear speck","48/1560","345/29171",1.39756159706075e-09,2.28722885762869e-08,1.31682954074787e-08,"P02545/O00571/P36873/Q3ZCQ8/O00422/Q13148/P08621/P26368/Q13838/Q14498/Q15233/P0DN76/Q01081/P82979/O75494/Q12874/Q13243/Q07955/Q86V81/Q7RTV0/Q9BWF3/Q8WXF1/Q9HC98/Q9Y2W1/Q13247/Q01130/Q9UMS4/P80723/O43172/Q15029/Q15287/P49756/P27695/P61011/Q9Y383/P48729/Q08170/Q6PJT7/P38919/Q8WWY3/Q9BY77/Q9UKV3/O75400/Q8WWM7/P52824/Q8IYB3/Q86XP3/O94906",48
"GO:0005798","GO:0005798","Golgi-associated vesicle","27/1560","140/29171",5.79916140867566e-09,9.26485072671755e-08,5.33406575685205e-08,"Q9Y678/P49755/P61106/Q9BVK6/Q02818/Q8WVM8/O14579/P53618/Q00610/O00194/P61923/O95782/P09496/P84077/Q15363/P53621/O43493/P48444/P61006/Q96KG9/Q8N6T3/Q9P289/O14672/Q9UBF2/P35606/P11717/P53675",27
"GO:0005838","GO:0005838","proteasome regulatory particle","12/1560","28/29171",7.16879466528704e-09,1.11866540009479e-07,6.44050830394209e-08,"P51665/P62333/O00231/P48556/P43686/P62191/O00487/P17980/P62195/P35998/O00232/Q99460",12
"GO:0005753","GO:0005753","mitochondrial proton-transporting ATP synthase complex","12/1560","30/29171",1.84423266424422e-08,2.81245481297243e-07,1.61921863104696e-07,"P48047/O75947/P06576/P25705/O75964/P30049/P56134/P56378/P36542/P56385/P30405/P24539",12
"GO:0045259","GO:0045259","proton-transporting ATP synthase complex","12/1560","31/29171",2.86233249217377e-08,4.26805578277467e-07,2.45725385877842e-07,"P48047/O75947/P06576/P25705/O75964/P30049/P56134/P56378/P36542/P56385/P30405/P24539",12
