"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000791","GO:0000791","euchromatin","10/1560","52/29171",0.000374909965178701,0.00189146305740532,0.00108897473067339,"P0C0S5/P16402/P16403/Q02539/Q6NXT2/P38159/Q13185/Q13263/Q9Y230/P35222",10
"GO:0008305","GO:0008305","integrin complex","10/1560","52/29171",0.000374909965178701,0.00189146305740532,0.00108897473067339,"P05556/P17301/P23229/P08648/P35579/P18084/P06756/P26006/P20701/Q13349",10
"GO:0098636","GO:0098636","protein complex involved in cell adhesion","10/1560","52/29171",0.000374909965178701,0.00189146305740532,0.00108897473067339,"P05556/P17301/P23229/P08648/P35579/P18084/P06756/P26006/P20701/Q13349",10
"GO:0032040","GO:0032040","small-subunit processome","9/1560","43/29171",0.000377891993116186,0.0018922800550818,0.00108944510191391,"P62081/Q9Y2X3/O00567/P22087/Q13601/Q9Y5J1/Q5TAP6/Q9BVJ6/Q8NI36",9
"GO:0005852","GO:0005852","eukaryotic translation initiation factor 3 complex","7/1560","27/29171",0.000425426501362772,0.00211452727714385,0.00121739981286657,"O00571/P60228/Q13347/O00303/Q14152/B5ME19/Q99613",7
"GO:0031674","GO:0031674","I band","28/1560","263/29171",0.000431063078766347,0.00212678916067808,0.00122445936460719,"P05787/P08727/P04075/P68032/P12814/O14950/O43707/P08758/O75369/Q13813/P24844/Q9NVD7/P04792/Q9Y281/Q14315/P35609/P17661/O75190/P35222/Q96HC4/P49810/Q9HBI1/O14974/Q8WX93/Q0ZGT2/P14923/O14983/Q03001",28
"GO:0000315","GO:0000315","organellar large ribosomal subunit","9/1560","44/29171",0.000452746769497552,0.00220139914733954,0.00126741467891382,"Q8IXM3/Q16540/P52815/Q7Z7H8/Q9NRX2/Q9Y3B7/Q13405/Q13084/P49406",9
"GO:0005762","GO:0005762","mitochondrial large ribosomal subunit","9/1560","44/29171",0.000452746769497552,0.00220139914733954,0.00126741467891382,"Q8IXM3/Q16540/P52815/Q7Z7H8/Q9NRX2/Q9Y3B7/Q13405/Q13084/P49406",9
"GO:0005884","GO:0005884","actin filament","20/1560","164/29171",0.000500831621037069,0.00241768358068974,0.00139193642499511,"P63261/P68032/P68133/P21333/P12814/P15311/Q9UBI6/P15153/P60763/P63000/P35609/P67936/P09493/Q08043/Q96IZ0/Q14247/P06753/Q96EY1/P46940/Q8WX93",20
"GO:0098644","GO:0098644","complex of collagen trimers","10/1560","54/29171",0.000514662853102058,0.00245945366372492,0.00141598477462867,"P02452/P12111/P02461/P08123/P12109/P02462/P02458/P08572/P20908/P12107",10
"GO:0019897","GO:0019897","extrinsic component of plasma membrane","28/1560","266/29171",0.000516815151393762,0.00245945366372492,0.00141598477462867,"P07355/P04083/P04899/P62873/Q9UJZ1/P35221/P08754/P06703/Q9UBI6/P63096/P63000/Q96A08/P07093/Q08431/P35222/P11488/P09471/P19087/A8MTJ3/P63092/Q96EY1/P16615/Q9Y5X1/P46940/Q5JWF2/P19022/P14923/A0FGR8",28
"GO:0070688","GO:0070688","MLL5-L complex","5/1560","14/29171",0.000579458872881313,0.00271899932659693,0.00156541337024249,"P60709/P36873/P62136/P62140/P51610",5
"GO:0072546","GO:0072546","ER membrane protein complex","5/1560","14/29171",0.000579458872881313,0.00271899932659693,0.00156541337024249,"Q8N4V1/Q15006/Q5J8M3/Q5UCC4/Q8N766",5
"GO:0008287","GO:0008287","protein serine/threonine phosphatase complex","12/1560","75/29171",0.000598307808939631,0.00276872096412753,0.00159403967971575,"P36873/P62136/P62140/P99999/P30153/P62714/P67775/Q00005/Q66LE6/O14974/P63151/Q96QC0",12
"GO:1903293","GO:1903293","phosphatase complex","12/1560","75/29171",0.000598307808939631,0.00276872096412753,0.00159403967971575,"P36873/P62136/P62140/P99999/P30153/P62714/P67775/Q00005/Q66LE6/O14974/P63151/Q96QC0",12
"GO:0034719","GO:0034719","SMN-Sm protein complex","7/1560","29/29171",0.000680771575519003,0.00312875155598117,0.00180132060717717,"P62304/P62316/P62318/P62306/P62314/Q9Y3F4/P14678",7
"GO:0019898","GO:0019898","extrinsic component of membrane","44/1560","494/29171",0.000692913503348381,0.00316289088943377,0.00182097569444222,"P07355/P51149/P04083/P26038/P04899/P62873/Q9UJZ1/O14656/P15311/P35221/P08754/P06703/Q9UBI6/P35241/Q02818/P63096/P04156/P63000/Q9Y3D7/Q03405/Q96A08/P07093/Q9NZN4/Q08431/Q9UNF0/P35222/P11488/P09471/P19087/A8MTJ3/P63092/Q96EY1/Q9Y5X2/P16615/Q9Y5X1/P46940/O60313/Q5JWF2/P19022/P14923/P12270/Q6SZW1/A0FGR8/P29590",44
"GO:0005834","GO:0005834","heterotrimeric G-protein complex","11/1560","66/29171",0.000702073739898693,0.00318305053697313,0.00183258223714666,"P04899/P62873/P08754/Q9UBI6/P63096/P11488/P09471/P19087/A8MTJ3/P63092/Q5JWF2",11
"GO:0030684","GO:0030684","preribosome","11/1560","67/29171",0.000799984723573214,0.00360261576857467,0.00207413912787969,"P08865/P62081/Q9Y2X3/Q15050/O00567/P22087/Q13601/Q9Y5J1/Q5TAP6/Q9BVJ6/Q8NI36",11
"GO:0033116","GO:0033116","endoplasmic reticulum-Golgi intermediate compartment membrane","14/1560","100/29171",0.000871474182453246,0.00389839450950752,0.00224442824533573,"P61019/Q12907/O75396/P13987/Q9H0U4/P49755/Q969X5/Q9BVK6/P49257/O14653/O15260/Q15363/Q9Y282/Q08379",14
"GO:0030132","GO:0030132","clathrin coat of coated pit","7/1560","31/29171",0.00104444146172762,0.00464119351535914,0.00267208097911492,"Q13492/Q00610/P63010/O95782/P09496/O94973/P00533",7
"GO:0042588","GO:0042588","zymogen granule","6/1560","23/29171",0.00106391062355979,0.0046659086824093,0.00268631027758132,"P10809/P49755/P08754/P63027/O00194/Q15363",6
"GO:0045239","GO:0045239","tricarboxylic acid cycle enzyme complex","6/1560","23/29171",0.00106391062355979,0.0046659086824093,0.00268631027758132,"P36957/P07954/Q02218/P09622/P11182/Q9ULD0",6
"GO:0000781","GO:0000781","chromosome, telomeric region","25/1560","239/29171",0.00109457701724712,0.00476922843229103,0.0027457947049193,"P62805/Q96QV6/P16104/P36873/P62136/P68431/P84243/P33778/P62140/O75367/Q9UH99/Q86V81/Q00577/Q13185/Q96A08/P45973/P09874/P27695/P12956/P13010/P39748/P05455/Q6P1J9/Q96QC0/P29590",25
"GO:0030127","GO:0030127","COPII vesicle coat","5/1560","16/29171",0.00115580766420178,0.00497145476076536,0.0028622227581785,"O94979/O94855/Q15436/P53992/O95486",5
"GO:0045263","GO:0045263","proton-transporting ATP synthase complex, coupling factor F(o)","5/1560","16/29171",0.00115580766420178,0.00497145476076536,0.0028622227581785,"O75947/O75964/P56134/P56385/P24539",5
"GO:0005790","GO:0005790","smooth endoplasmic reticulum","10/1560","60/29171",0.00121265944107461,0.00518276742013418,0.00298388209771628,"P23284/P11021/P27824/P27797/P30040/Q9Y4L1/Q13217/Q15436/P49768/P05067",10
"GO:0000776","GO:0000776","kinetochore","22/1560","204/29171",0.00142902661632606,0.00606884088325813,0.00349402243965132,"Q15019/P36873/Q16181/P55735/O43670/O43684/Q9Y6G9/P46060/P45973/Q7Z7K6/P49810/P48729/P49768/O43264/Q14141/Q13561/O14974/P57740/Q14203/P12270/O14980/P52948",22
"GO:0000159","GO:0000159","protein phosphatase type 2A complex","7/1560","33/29171",0.00154543523721534,0.00652193109541821,0.00375488071537922,"P99999/P30153/P62714/P67775/Q00005/Q66LE6/P63151",7
"GO:0044232","GO:0044232","organelle membrane contact site","5/1560","17/29171",0.00156573593603372,0.00656630508174143,0.00378042821397616,"P27824/Q9BSJ8/Q15388/O60488/A0FGR8",5
"GO:0005844","GO:0005844","polysome","11/1560","73/29171",0.00165398015106277,0.00689329615753491,0.00396868725361254,"P62701/P23396/P13639/P27797/P35637/P22090/P62424/P16989/Q9Y295/Q9Y2T7/Q8NE71",11
"GO:0005583","GO:0005583","fibrillar collagen trimer","6/1560","25/29171",0.00170288568861637,0.00696729449427795,0.00401129042183702,"P02452/P02461/P08123/P02458/P20908/P12107",6
"GO:0016282","GO:0016282","eukaryotic 43S preinitiation complex","6/1560","25/29171",0.00170288568861637,0.00696729449427795,0.00401129042183702,"P60228/Q13347/O00303/Q14152/B5ME19/Q99613",6
"GO:0098643","GO:0098643","banded collagen fibril","6/1560","25/29171",0.00170288568861637,0.00696729449427795,0.00401129042183702,"P02452/P02461/P08123/P02458/P20908/P12107",6
"GO:0031901","GO:0031901","early endosome membrane","21/1560","195/29171",0.00184164574255022,0.00748043174752961,0.0043067196663948,"P04083/P51148/O15400/P61769/P10321/P61106/Q9UL25/P30460/Q03135/P01889/Q8N4V1/Q9H4M9/P04439/P30443/P63000/P20339/P61020/Q9H223/Q9Y5X2/P29590/P00533",21
"GO:0055038","GO:0055038","recycling endosome membrane","11/1560","74/29171",0.00185059861414294,0.00748043174752961,0.0043067196663948,"Q15907/P62491/P02786/Q9H4M9/Q9NZN3/P61225/Q9NZN4/Q9UNF0/P61006/P61026/Q9H223",11
"GO:0000243","GO:0000243","commitment complex","4/1560","11/29171",0.00198511459408179,0.00792864221802905,0.0045647685214788,"P62318/P08621/P62314/P26368",4
"GO:0005683","GO:0005683","U7 snRNP","4/1560","11/29171",0.00198511459408179,0.00792864221802905,0.0045647685214788,"P62304/P62318/P62306/P14678",4
"GO:0032153","GO:0032153","cell division site","14/1560","109/29171",0.00202608425960861,0.00799707375410223,0.00460416670759356,"P62491/Q15019/P05556/P36873/P08134/P61586/Q16181/Q9UL25/P35241/Q9UHB6/P62745/P35579/P06753/Q14141",14
"GO:0032155","GO:0032155","cell division site part","14/1560","109/29171",0.00202608425960861,0.00799707375410223,0.00460416670759356,"P62491/Q15019/P05556/P36873/P08134/P61586/Q16181/Q9UL25/P35241/Q9UHB6/P62745/P35579/P06753/Q14141",14
"GO:0030125","GO:0030125","clathrin vesicle coat","8/1560","44/29171",0.00207833013493412,0.00815531883357191,0.00469527337347383,"Q13492/Q00610/P63010/O95782/P09496/O94973/P00533/P53675",8
"GO:0033290","GO:0033290","eukaryotic 48S preinitiation complex","6/1560","26/29171",0.00211466621432538,0.0082496571500717,0.00474958690732813,"P60228/Q13347/O00303/Q14152/B5ME19/Q99613",6
"GO:0071004","GO:0071004","U2-type prespliceosome","7/1560","35/29171",0.00221600530167223,0.00856141147752544,0.00492907367205559,"P08621/P26368/P14678/P63162/Q9Y383/Q15459/O75400",7
"GO:0016363","GO:0016363","nuclear matrix","21/1560","198/29171",0.00222009776019289,0.00856141147752544,0.00492907367205559,"P05787/P02545/Q99623/Q9Y265/P23246/P20700/Q13838/Q15233/P23528/P43243/Q9Y281/P52272/Q7RTV0/Q8WXF1/Q9Y230/P09486/O75400/Q14980/Q8IYB3/P29590/Q9UPN6",21
"GO:0031983","GO:0031983","vesicle lumen","18/1560","160/29171",0.00233756909158935,0.00896032369990284,0.00515873997625593,"P04075/P12814/P14625/O43707/P27797/P05121/P15144/P01033/Q9Y4L1/P07900/P02751/P35609/P68871/P09486/P07996/P02768/P05067/P00533",18
"GO:0030018","GO:0030018","Z disc","24/1560","239/29171",0.00235024883931878,0.00896032369990284,0.00515873997625593,"P05787/P08727/P12814/O14950/O43707/P08758/O75369/Q13813/P24844/Q9NVD7/P04792/Q14315/P35609/P17661/O75190/P35222/Q96HC4/P49810/Q9HBI1/O14974/Q8WX93/Q0ZGT2/P14923/Q03001",24
"GO:0042612","GO:0042612","MHC class I protein complex","6/1560","27/29171",0.0025973061323147,0.00979096862237733,0.00563696836522469,"P61769/P10321/P30460/P01889/P04439/P30443",6
"GO:0070993","GO:0070993","translation preinitiation complex","6/1560","27/29171",0.0025973061323147,0.00979096862237733,0.00563696836522469,"P60228/Q13347/O00303/Q14152/B5ME19/Q99613",6
