protein id	EMPAI
sp|O15523|DDX3Y_HUMAN	0.00080972048
sp|P19338|NUCL_HUMAN	0.00080741942
sp|O60506|HNRPQ_HUMAN	0.00078727555
sp|P00403|COX2_HUMAN	0.00078727555
sp|P05204|HMGN2_HUMAN	0.00078727555
sp|P06703|S10A6_HUMAN	0.00078727555
sp|P08621|RU17_HUMAN	0.00078727555
sp|P14406|CX7A2_HUMAN	0.00078727555
sp|P24534|EF1B_HUMAN	0.00078727555
sp|P29692|EF1D_HUMAN	0.00078727555
sp|P30492|1B54_HUMAN	0.00078727555
sp|P30493|1B55_HUMAN	0.00078727555
sp|P35613|BASI_HUMAN	0.00078727555
sp|P41567|EIF1_HUMAN	0.00078727555
sp|P50402|EMD_HUMAN	0.00078727555
sp|P51665|PSMD7_HUMAN	0.00078727555
sp|P55145|MANF_HUMAN	0.00078727555
sp|P55735|SEC13_HUMAN	0.00078727555
sp|P56385|ATP5I_HUMAN	0.00078727555
sp|P61106|RAB14_HUMAN	0.00078727555
sp|P62306|RUXF_HUMAN	0.00078727555
sp|P62314|SMD1_HUMAN	0.00078727555
sp|P63027|VAMP2_HUMAN	0.00078727555
sp|P84103|SRSF3_HUMAN	0.00078727555
sp|Q01628|IFM3_HUMAN	0.00078727555
sp|Q01629|IFM2_HUMAN	0.00078727555
sp|Q13151|ROA0_HUMAN	0.00078727555
sp|Q14697|GANAB_HUMAN	0.00078727555
sp|Q15836|VAMP3_HUMAN	0.00078727555
sp|Q29940|1B59_HUMAN	0.00078727555
sp|Q6NUK1|SCMC1_HUMAN	0.00078727555
sp|Q969X5|ERGI1_HUMAN	0.00078727555
sp|Q9BS26|ERP44_HUMAN	0.00078727555
sp|Q9H299|SH3L3_HUMAN	0.00078727555
sp|Q9H9B4|SFXN1_HUMAN	0.00078727555
sp|Q9NY65|TBA8_HUMAN	0.00078727555
sp|Q9UBI6|GBG12_HUMAN	0.00078727555
sp|Q9UHD8|SEPT9_HUMAN	0.00078727555
sp|Q9UL25|RAB21_HUMAN	0.00078727555
sp|Q9Y2Q3|GSTK1_HUMAN	0.00078727555
sp|P17301|ITA2_HUMAN	0.00076980429
sp|P13667|PDIA4_HUMAN	0.00076602522
sp|P50990|TCPQ_HUMAN	0.00076344819
sp|Q99798|ACON_HUMAN	0.00076344819
sp|Q32P28|P3H1_HUMAN	0.00076015998
sp|P55084|ECHB_HUMAN	0.00075581879
sp|P22695|QCR2_HUMAN	0.00074982294
sp|P42167|LAP2B_HUMAN	0.00074982294
sp|P23229|ITA6_HUMAN	0.00074437098
sp|O43390|HNRPR_HUMAN	0.00074100296
sp|O75521|ECI2_HUMAN	0.00074100296
sp|P10314|1A32_HUMAN	0.00074100296
sp|P26368|U2AF2_HUMAN	0.00074100296
sp|P30508|1C12_HUMAN	0.00074100296
sp|Q15582|BGH3_HUMAN	0.00074100296
sp|Q8TC12|RDH11_HUMAN	0.00074100296
sp|Q13242|SRSF9_HUMAN	0.00072674965
sp|Q15293|RCN1_HUMAN	0.00072674965
sp|Q9BVK6|TMED9_HUMAN	0.00072674965
sp|P08559|ODPA_HUMAN	0.00071573106
sp|P15144|AMPN_HUMAN	0.00071573106
sp|P24752|THIL_HUMAN	0.00071573106
sp|Q00341|VIGLN_HUMAN	0.00071573106
sp|P49368|TCPG_HUMAN	0.00071110926
sp|P01033|TIMP1_HUMAN	0.00069980859
sp|P09429|HMGB1_HUMAN	0.00069980859
sp|P12236|ADT3_HUMAN	0.00069980859
sp|P15880|RS2_HUMAN	0.00069980859
sp|P16188|1A30_HUMAN	0.00069980859
sp|P16189|1A31_HUMAN	0.00069980859
sp|P16190|1A33_HUMAN	0.00069980859
sp|P23368|MAOM_HUMAN	0.00069980859
sp|P30460|1B08_HUMAN	0.00069980859
sp|P30479|1B41_HUMAN	0.00069980859
sp|P30480|1B42_HUMAN	0.00069980859
sp|P30512|1A29_HUMAN	0.00069980859
sp|P45877|PPIC_HUMAN	0.00069980859
sp|P62081|RS7_HUMAN	0.00069980859
sp|P62277|RS13_HUMAN	0.00069980859
sp|P62979|RS27A_HUMAN	0.00069980859
sp|Q02539|H11_HUMAN	0.00069980859
sp|Q05682|CALD1_HUMAN	0.00069980859
sp|Q9GZT3|SLIRP_HUMAN	0.00069980859
sp|Q9NVD7|PARVA_HUMAN	0.00069980859
sp|P54886|P5CS_HUMAN	0.00069126161
sp|Q12797|ASPH_HUMAN	0.0006888574
sp|P19367|HXK1_HUMAN	0.00068457116
sp|Q13838|DX39B_HUMAN	0.00068457116
sp|Q14498|RBM39_HUMAN	0.00068457116
sp|Q15233|NONO_HUMAN	0.00068457116
sp|Q96PK6|RBM14_HUMAN	0.00068457116
sp|P45880|VDAC2_HUMAN	0.00067477225
sp|P54819|KAD2_HUMAN	0.00067477225
sp|Q00688|FKBP3_HUMAN	0.00067477225
sp|Q53GQ0|DHB12_HUMAN	0.00067477225
sp|Q6P587|FAHD1_HUMAN	0.00067477225
sp|Q9NRW1|RAB6B_HUMAN	0.00067477225
sp|P35241|RADI_HUMAN	0.00066794106
sp|O00629|IMA3_HUMAN	0.00066290685
sp|O75390|CISY_HUMAN	0.00066290685
sp|P30453|1A34_HUMAN	0.00066290685
sp|P30459|1A74_HUMAN	0.00066290685
sp|P36957|ODO2_HUMAN	0.00066290685
sp|P52597|HNRPF_HUMAN	0.00066290685
sp|P61163|ACTZ_HUMAN	0.00066290685
sp|Q9BTV4|TMM43_HUMAN	0.00066290685
sp|Q9Y3F4|STRAP_HUMAN	0.00066290685
sp|O75439|MPPB_HUMAN	0.00065598369
sp|P52292|IMA1_HUMAN	0.00065598369
sp|Q5JTV8|TOIP1_HUMAN	0.00065144722
sp|Q92896|GSLG1_HUMAN	0.00064037292
sp|O00483|NDUA4_HUMAN	0.00062966527
sp|O14519|CDKA1_HUMAN	0.00062966527
sp|O15173|PGRC2_HUMAN	0.00062966527
sp|O15511|ARPC5_HUMAN	0.00062966527
sp|O75477|ERLN1_HUMAN	0.00062966527
sp|O94905|ERLN2_HUMAN	0.00062966527
sp|P02452|CO1A1_HUMAN	0.00062966527
sp|P09601|HMOX1_HUMAN	0.00062966527
sp|P0DN76|U2AF5_HUMAN	0.00062966527
sp|P23528|COF1_HUMAN	0.00062966527
sp|P30510|1C14_HUMAN	0.00062966527
sp|P30519|HMOX2_HUMAN	0.00062966527
sp|P35637|FUS_HUMAN	0.00062966527
sp|P42766|RL35_HUMAN	0.00062966527
sp|P43307|SSRA_HUMAN	0.00062966527
sp|P46777|RL5_HUMAN	0.00062966527
sp|P47914|RL29_HUMAN	0.00062966527
sp|P49207|RL34_HUMAN	0.00062966527
sp|P50914|RL14_HUMAN	0.00062966527
sp|P60842|IF4A1_HUMAN	0.00062966527
sp|P61803|DAD1_HUMAN	0.00062966527
sp|P61981|1433G_HUMAN	0.00062966527
sp|P62258|1433E_HUMAN	0.00062966527
sp|P83881|RL36A_HUMAN	0.00062966527
sp|Q01081|U2AF1_HUMAN	0.00062966527
sp|Q01105|SET_HUMAN	0.00062966527
sp|Q02818|NUCB1_HUMAN	0.00062966527
sp|Q03135|CAV1_HUMAN	0.00062966527
sp|Q03252|LMNB2_HUMAN	0.00062966527
sp|Q14240|IF4A2_HUMAN	0.00062966527
sp|Q15691|MARE1_HUMAN	0.00062966527
sp|Q5RI15|COX20_HUMAN	0.00062966527
sp|Q6UW68|TM205_HUMAN	0.00062966527
sp|Q92945|FUBP2_HUMAN	0.00062966527
sp|Q969Q0|RL36L_HUMAN	0.00062966527
sp|Q99439|CNN2_HUMAN	0.00062966527
sp|Q9NR31|SAR1A_HUMAN	0.00062966527
sp|Q9NX40|OCAD1_HUMAN	0.00062966527
sp|Q9NX63|MIC19_HUMAN	0.00062966527
sp|Q9NZI8|IF2B1_HUMAN	0.00062966527
sp|Q9Y2X3|NOP58_HUMAN	0.00062966527
sp|Q9Y4L1|HYOU1_HUMAN	0.00062966527
sp|Q9Y5L4|TIM13_HUMAN	0.00062966527
sp|P43243|MATR3_HUMAN	0.00061425229
sp|O94826|TOM70_HUMAN	0.00060927938
sp|Q8WVM8|SCFD1_HUMAN	0.00060927938
sp|Q96AE4|FUBP1_HUMAN	0.00060927938
sp|O14579|COPE_HUMAN	0.00059016049
sp|P18465|1B57_HUMAN	0.00059016049
sp|P22090|RS4Y1_HUMAN	0.00059016049
sp|P30504|1C04_HUMAN	0.00059016049
sp|P50991|TCPD_HUMAN	0.00059016049
sp|P53618|COPB_HUMAN	0.00059016049
sp|P60174|TPIS_HUMAN	0.00059016049
sp|P63096|GNAI1_HUMAN	0.00059016049
sp|P63104|1433Z_HUMAN	0.00059016049
sp|Q9UHB6|LIMA1_HUMAN	0.00059016049
sp|Q10567|AP1B1_HUMAN	0.00058556517
sp|Q13724|MOGS_HUMAN	0.00057976
sp|O00116|ADAS_HUMAN	0.00057219499
sp|O75431|MTX2_HUMAN	0.00057219499
sp|O76021|RL1D1_HUMAN	0.00057219499
sp|P04792|HSPB1_HUMAN	0.00057219499
sp|P0DME0|SETLP_HUMAN	0.00057219499
sp|P20290|BTF3_HUMAN	0.00057219499
sp|P26583|HMGB2_HUMAN	0.00057219499
sp|P82979|SARNP_HUMAN	0.00057219499
sp|Q14011|CIRBP_HUMAN	0.00057219499
sp|Q5JRX3|PREP_HUMAN	0.00057219499
sp|Q6NUQ4|TM214_HUMAN	0.00057219499
sp|Q8NCA5|FA98A_HUMAN	0.00057219499
